"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Latvia,0,,,,,,20014,50084,80223,105405,150708,170904,515665,629774,894759,1060543,1229779,1350078,1508075,1549045,1601215,
Lebanon,0,,,,,2480,4961,44646,99207,198406,297618,257959,270795,314834,359824,410915,614619,774875,938806,993847,1310555,
Lesotho,0,,,,,,52,104,208,1041,4160,5194,21790,31094,44533,53301,62144,72565,76161,79950,83813,
Liberia,0,,,,,,,106,104,307,504,994,980,968,959,,,19172,19390,19563,279589,
Libya,0,,,,,,,,,6860,9785,19541,121968,155954,199704,226045,253493,284409,553466,676368,889716,
Liechtenstein,0,,,,,,,,,,11996,14996,19998,19999,21996,21987,22472,22951,24865,26829,28826,
Lithuania,0,,,,,,9998,34999,70005,103001,224949,249814,612499,893162,1071832,1237184,1491676,1686142,1855281,1996640,2064627,
Luxembourg,0,,599,1197,1995,6483,22949,29953,49944,74881,99672,158941,176444,243478,297045,320038,337596,375433,400280,434487,456703,
"Macao, China",0,,,,145,1116,2944,9718,29234,39086,58771,99153,113141,118274,148015,167827,228876,239337,255291,286845,308797,
"Macedonia, FYR",0,,,,,800,1500,9994,19981,29964,49937,69921,350457,386705,496875,539080,584733,743396,944982,1064789,1069432,
Madagascar,0,,,,,,501,2004,9028,25110,30175,35260,55507,71286,91190,101543,111953,123373,322514,328024,352135,
Malawi,0,,,,,,,482,1916,9533,14236,18911,25452,33862,43344,49301,56098,131255,98036,154533,336759,
Malaysia,0,,201,5031,20126,30185,181035,502585,1507160,2813985,5007215,6397589,7927815,8763835,10812546,12692331,13728624,15067486,15346120,15623712,15989773,
Maldives,0,0,0,0,0,0,576,801,1503,3008,6022,10049,15095,17133,19171,20282,33045,49477,71371,77311,89395,
Mali,0,,,,,,207,1046,2111,6682,16101,21638,27250,38423,55281,66814,99177,113568,227022,286268,414985,
Malta,0,,,,,870,4093,15349,25576,30678,52117,71466,116329,128075,140967,168793,166119,193513,207304,244398,262404,
Marshall Islands,0,0,0,0,0,0,19,,,503,800,890,1216,1336,1871,2018,1982,1948,1918,1893,,
Mauritania,0,,,,,,,101,1013,3042,5075,7112,10172,12220,14273,20416,30663,46057,61621,77010,103793,
Mauritius,0,,,,,,2114,5529,30102,55104,87089,106098,125178,150339,170521,190676,211536,257936,280007,290741,368055,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,5053,15148,25223,39305,94639,188098,598715,1227834,1829829,5079331,7131597,12213464,13403431,14829811,18325855,21049443,22728839,24017156,29509589,35217856,
"Micronesia, Fed. Sts.",0,,,,,,300,616,2000,3000,4000,5000,6001,10001,12001,13000,13998,14996,15992,16989,22213,
Moldova,0,,,,36,150,200,1201,11010,25032,52683,60111,150309,288628,406883,551104,728899,750830,850240,1333056,1429154,
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,,,,,203,422,2645,3451,12147,30278,40248,50150,,,,,,333168,341669,355524,
Montenegro,,,,,,,,,,,,,,,158923,180611,201822,232601,257803,282791,328375,
Morocco,0,,,,,999,1551,5995,39962,49947,199765,399489,699016,998308,3491917,4584536,6070168,6667408,10367401,13065058,15656192,
Mozambique,0,,,,,,499,1997,3493,9977,19947,29912,49846,82737,137563,177450,179473,198483,348393,612611,975395,
Myanmar,0,,,,,,,,,68,,131,195,11032,11212,30219,84844,101868,103951,104723,,
Namibia,0,,,,,102,154,1029,5169,6224,31182,46802,51974,67477,77743,83407,93197,104400,117261,131666,148414,
Nepal,0,0,0,0,0,200,999,4992,14975,34944,49936,59956,80000,100080,120189,225499,317690,400071,500063,579825,2375778,
Netherlands,49796,79696,199357,299245,499023,998301,1497258,2195038,3490213,6180224,6977161,7876705,9834554,10384616,11117432,13207420,13708352,14111797,14427153,14842072,15071303,
New Caledonia,0,,,,,10,494,1973,3944,11825,29547,39376,49200,59022,68855,74775,78754,83744,83829,83921,,
New Zealand,0,,10017,22500,114816,179499,298945,547868,1196948,1583997,1827918,2080036,2340766,2451163,2522845,2592927,2887583,2952565,3081306,3445135,3625553,
Nicaragua,0,,,,597,1393,3980,9950,14923,24869,49733,74593,89504,99441,124295,139208,154125,216983,298686,416847,578816,
Niger,0,,,,,,99,198,297,2968,3961,11895,14885,18868,23831,28761,39577,54443,101150,113789,128749,
Nigeria,0,,,,,,9948,19869,29769,49568,79261,113909,416064,743281,1754285,4962548,7948196,9948615,23895585,43920959,45039711,
Northern Mariana Islands,0,,,,,,,,,,,,,,,,,,,,,
Norway,30000,59996,94985,119972,179964,279994,800301,900856,1001499,1101925,1201846,1320367,3303730,3561681,3563676,3790642,3854096,4104849,4328303,4451149,4560337,
Oman,0,,,,,,0,9968,19523,56839,79708,134331,158286,169492,160748,162378,206714,427206,527393,1396753,1725110,
Pakistan,0,,,,,156,3911,36986,60564,78198,,1945626,3876636,7720024,9607715,10045953,11436613,16617616,26405644,28285015,29128970,
Palau,0,,,,,,,,,,,,3962,4255,5341,,,,,,,
Panama,0,,,,200,1502,6010,15025,78209,111255,193768,218970,261430,312163,354499,371889,571596,746865,1152074,1352911,1503441,
Papua New Guinea,0,,,,,,100,5000,11993,34960,44927,49894,74805,79757,89693,104609,109566,114530,75317,107924,87786,
Paraguay,0,,,,,,999,4993,9987,19974,39950,59927,99885,119869,199787,466341,478409,685973,889056,1198618,1278001,
Peru,0,,,,1990,7961,59708,99515,298537,497469,795623,1987779,2383348,3122296,3841127,4712549,5768342,7097852,8701242,9032261,9973244,
